int	string	string	float	float	int	float	float
22	怪物-猎犬怪-待机02	audio/monster/yx_m_liequanguai_daiji_02.unity3d	1	1	0	0	-1
23	怪物-猎犬怪-攻击01	audio/monster/yx_m_liequanguai_gongji_01.unity3d	1	1	0	0	-1
24	怪物-猎犬怪-攻击02	audio/monster/yx_m_liequanguai_gongji_02.unity3d	1	1	0	0	-1
25	怪物-猎犬怪-死亡	audio/monster/yx_m_liequanguai_siwang.unity3d	1	1	0	0	-1
26	怪物-骷髅兵-待机	audio/monster/yx_m_kuloubing_daiji.unity3d	1	1	0	0	-1
27	怪物-骷髅兵-死亡	audio/monster/yx_m_kuloubing_siwang.unity3d	1	1	0	0	-1
28	怪物-巨人-待机01	audio/monster/yx_m_jvren_daiji_01.unity3d	1	1	0	0	-1
29	怪物-巨人-待机02	audio/monster/yx_m_jvren_daiji_02.unity3d	1	1	0	0	-1
30	怪物-巨人-攻击01	audio/monster/yx_m_jvren_gongji_01.unity3d	1	1	0	0	-1
31	怪物-巨人-攻击02	audio/monster/yx_m_jvren_gongji_02.unity3d	1	1	0	0	-1
32	怪物-巨人-死亡	audio/monster/yx_m_jvren_siwang.unity3d	1	1	0	0	-1
33	狂战士-技能-普通-奥义2-转	audio/skill/yx_jineng_pugongaoyi02_zhuan.unity3d	1	1	0	0	-1
34	狂战士-技能-普通-奥义2-砸	audio/skill/yx_jineng_pugongaoyi02_za.unity3d	1	1	0	0	-1
35	狂战士-技能-大风车	audio/skill/yx_jineng_dafengche.unity3d	1	1	0	0	-1
36	命中-剑	audio/skill/yx_hit_jian.unity3d	1	1	0	0	-1
37	武器-挥动-剑	audio/skill/yx_wuqi_jian.unity3d	1	1	0	0	-1
38	NPC-铁匠打铁	audio/npc/yx_npc_tiejiang.unity3d	1	1	0	0	-1
39	地下城-背景音乐	audio/map/yx_en_dixiacheng.unity3d	1	-1	1	0	-1
40	UI-结算界面宝箱掉落音效	audio/ui/yx_ui_xiangzidiaoluo.unity3d	1	-1	0	0	-1
41	UI-结算界面胜利音效	audio/ui/yx_ui_shengli.unity3d.unity3d	1	-1	0	0	-1
42	UI-结算界面评分音效	audio/ui/yx_ui_pingfen.unity3d.unity3d	1	-1	0	0	-1
43	法师-技能-黑龙波	audio/skill/yx_fsskill_heilongbo.unity3d	3	1	0	0	-1
44	法师-技能-黑龙波奥义-火龙术	audio/skill/yx_fsskill_heilongboaoyi.unity3d	1	1	0	0	-1
45	法师-技能-瞬移	audio/skill/yx_fsskill_shunyi.unity3d	1	1	0	0	-1
46	法师-技能-普攻	audio/skill/yx_fsskill_pugong.unity3d	1	1	0	0	-1
47	法师-技能-极光	audio/skill/yx_fsskill_jiguang.unity3d	1	1	0	0	-1
48	法师-技能-星辰之怒	audio/skill/yx_fsskill_xingchenzhinu.unity3d	1	1	0	0	-1
49	战士-技能-车轮斩（普攻奥义2）	audio/skill/yx_zsskill_chelunzhan.unity3d	1	1	0	0	-1
50	创建角色-法师音效	audio/skill/yx_denglu_fs.unity3d	1	1	0	0	-1
51	命中-法师	audio/skill/yx_hit_fs.unity3d	0.5	1	0	0	-1
52	创建角色-弓手音效	audio/skill/yx_denglujiemian_gs.unity3d	1	1	1	0	-1
53	怪物-骷髅王-普攻	audio/monster/yx_m_kulouwang_skill_zadi.unity3d	1	1	0	0	-1
54	怪物-骷髅王-地裂斩	audio/monster/yx_m_kulouwang_skill_diliezhan.unity3d	1	1	0	0	-1
55	怪物-骷髅王-回旋斩	audio/monster/yx_m_kulouwang_skill_huixuanzhan.unity3d	1	1	0	0	-1
56	创建角色-弓箭手音效	audio/skill/yx_denglu_gs.unity3d	1	1	0	0	-1
