int	int	int	int	int
185	7863255	152	39282	7
186	7877906	153	39614	7
187	7892557	153	39946	7
188	7907208	154	40279	7
189	7921859	154	40611	7
190	7936510	155	40943	7
191	7951161	155	41275	7
192	7965812	156	41607	7
193	7980463	156	41939	7
194	7995114	157	42271	7
195	8009765	157	42604	7
196	8024416	158	43348	7
197	8039067	158	44091	7
198	8053718	159	44835	7
199	8068369	159	45579	7
200	8083020	160	46323	8
201	8680000	160	47067	8
202	8695334	161	47811	8
203	8710668	161	48555	8
204	8726002	162	49299	8
205	8741336	162	50043	8
206	8756670	163	50787	8
207	8772004	163	51531	8
208	8787338	164	52275	8
209	8802672	164	53018	8
210	8818006	165	53762	8
211	8833340	165	54506	8
212	8848674	166	55250	8
213	8864008	166	55994	8
214	8879342	167	56738	8
215	8894676	167	57482	8
216	8910010	168	58226	8
217	8925344	168	58970	8
218	8940678	169	59714	8
219	8956012	169	60458	8
220	8971346	170	61202	8
221	8986680	170	61945	8
222	9060000	171	62689	8
223	9076620	171	63433	8
224	9093240	172	64177	8
225	9109860	172	64921	8
226	9126480	173	65665	8
227	9143100	173	66409	8
228	9159720	174	67153	8
229	9176340	174	67897	8
230	9192960	175	68641	8
231	9209580	175	69385	8
232	9226200	176	70129	8
233	9242820	176	70872	8
234	9259440	177	71616	8
235	9276060	177	72360	8
236	9292680	178	73104	8
237	9309300	178	73848	8
238	9325920	179	74592	8
239	9342540	179	75336	8
240	9359160	180	76080	8
241	9375780	180	76824	8
242	9392400	181	77568	8
243	13080000	181	78312	8
244	13097905	182	79056	8
245	13115810	182	79799	8
246	13133715	183	80543	8
247	13151620	183	81287	8
248	13169525	184	82031	8
249	13187430	184	82775	8
250	13205335	185	83519	9
251	13223240	185	84263	9
252	13241145	186	86075	9
253	13259050	186	87887	9
254	13276955	187	89699	9
255	13294860	187	91511	9
256	13312765	188	93323	9
257	13330670	188	95135	9
258	13348575	189	96948	9
259	15595000	189	98760	9
260	15613352	190	100572	9
261	15631704	190	102384	9
262	15650056	191	104196	9
263	15668408	191	106008	9
264	15686760	192	107820	9
265	15705112	192	109632	9
266	15723464	193	111444	9
267	15741816	193	113256	9
268	15760168	194	115068	9
269	15778520	194	116881	9
270	15796872	195	118693	9
271	15815224	195	120505	9
272	15833576	196	122317	9
273	16260000	196	124129	9
274	16279830	197	125941	9
275	16299660	197	127753	9
276	16319490	198	129565	9
277	16339320	198	131377	9
278	16359150	199	133189	9
279	16378980	199	135001	9
280	16398810	200	136814	9
281	16418640	200	138626	9
282	16438470	201	140438	9
283	16458300	201	142250	9
284	16478130	202	144062	9
285	16497960	202	145874	9
286	16517790	203	147686	9
287	34225000	203	149498	9
288	34245239	204	151310	9
289	34265478	204	153122	9
290	34285717	205	154934	9
291	34305956	205	156747	9
292	34326195	206	158559	9
293	34346434	206	160371	9
294	49945000	207	162183	9
295	49967000	207	163995	9
296	49989000	208	165807	9
297	50011000	208	167619	9
298	50033000	209	169431	9
299	50055000	209	171243	9
300	0	209	173055	10
