int	string	string	string	string	int	int	int	int	int	int	string	string	string	string	string	string	string	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string	int	float	int	int	int	int	float	int	int	int	int	int	int
9	法师黑龙波奥义	火龙术	SkillIconAtlas:skill_fs_huolongshu	法师技能	1	0	1	1	5000	2	3_1	3_3	0_8	0.7_0.7	2	1			3000_7000	3000_7000	0	0	17	17	0	0	10000	10000		10	0	0	0	0	0	0	0	0	0	0	0	0									2			1000	3	0	0	10
10	法师	瞬移	SkillIconAtlas:skill_fs_shanxian	法师技能	1	1	3	1	5000	1	3	0.1		0			1	6	10000	10000	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									3			500	3	0	0	10
11	弓箭手	穿透箭	SkillIconAtlas:skill_gs_chuantou	穿透箭	1	0	1	1	5000	1	1	3	7	0	1	2			10000	10000	0	0	19	19	0	0	10000	10000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									2			1300	3	0	0	10
12	弓箭手	冰封箭	SkillIconAtlas:skill_gs_bingfengjian	冰封箭	1	0	1	1	5000	1	1	3	7	0					10000	10000	0	0	20	20	0	0	10000	10000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	21	1	50						2			500	3	0	0	10
13	弓箭手	多重箭	SkillIconAtlas:skill_gs_duochong	多重箭	1	0	1	1	5000	4	2_2_2_2	7_7_7_7	90_90_90_90	0_0_0_0	1_2_3_4	0.3_0.3_0.3_0.3			2500_2500_2500_2500	2500_2500_2500_2500	0	0	21	21	0	0	10000	10000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									2			1500	3	0	0	10
14	弓箭手	天堂之箭	SkillIconAtlas:skill_gs_tiantang	天堂之箭	1	0	1	1	5000	8	3_3_3_3_3_3_3_3	2.3_2.3_2.3_2.3_2.3_2.3_2.3_2.3		2.3_2.3_2.3_2.3_2.3_2.3_2.3_2.3					1250_1250_1250_1250_1250_1250_1250_1250	1250_1250_1250_1250_1250_1250_1250_1250	0	0	22	22	0	0	10000	10000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									2			500	3	0	0	10
15	战士	雷霆裂闪	SkillIconAtlas:skill_fs_huolongshu	战士技能	1	0	1	1	3000	2	3_3	2.2_3		0_1.5	2	0.5			3000_7000	3000_7000	0	0	23	23	0	0	10000	10000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									2			1500	3	0	0	10
16	宠物	魔法箭	SkillIconAtlas:skill_cw_mofajian	宠物-魔法箭技能	1	0	1	1	3000	1	1	2	8	0					10000	10000			24	24	0	0	10000	10000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		500	500	3	0	0	10
17	弓箭手	普攻	SkillIconAtlas:skill_gs_putonggongji	弓箭手普攻	1	0	1	1	0	5	1_1_1_1_1	2_2_2_2_3	11_11_11_11_11	0_0_0_0_0	5	0.5			1500_1500_1500_1500_4000	1500_1500_1500_1500_4000			25	29	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0											5000	5000	3	0	0	10
99001	蜘蛛测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99001	99001	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99002	幼龙测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99002	99002	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99003	蛮牛怪测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99003	99003	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99004	猎犬怪测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99004	99004	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99005	黑巫师测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99005	99005	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99006	巨人测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99006	99006	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99007	骷髅兵测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99007	99007	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99008	镰刀骷髅兵测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99008	99008	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99009	骷髅兵测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99009	99009	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99010	幽灵测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99010	99010	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99011	独眼巨人测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99011	99011	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99012	骷髅弓箭手测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99012	99012	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99013	测试怪物技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99012	99012	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99014	骷髅王普攻	裂地		骷髅王普攻			1	1	0	1	3	2	0	2.5					10000	10000	0	0	99014	99014	0	0	10000	10000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		4000		3	0	0	10
99015	骷髅王技能-回旋斩	回旋斩		骷髅王技能-回旋斩			1	1	1000	2	3_3	3.5_3.5	0_0	0_0					5000_5000	5000_5000	0	0	99015	99015	0	0	30000	30000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		3000		3	0	0	10
99016	骷髅王技能-地裂斩	地裂斩		骷髅王技能-地裂斩			1	1	1000	3	3_3_3	4_3_2	0_0_0	4.5_8_10					3333_3333_3334	3333_3333_3334	0	0	99016	99016	0	0	45000	45000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		5000		3	0	0	10
99017	寒冰魔测试技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99001	99001	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99018	蓝魔怪测试技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99001	99001	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99019	雪人测试技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99001	99001	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99020	雪人王测试技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99001	99001	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
99021	冰后测试技能	普通攻击		测试怪物技能			1		500	1	2	1.5	180	0					10000	10000	0	0	99001	99001	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0									0		1000		3	0	0	10
60001	宠物普攻	宠物普攻		宠物测试技能			1	1	500	1	2	1.5	90	1.5							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10
60002	撕扯	撕扯		宠物测试技能			1	1	2000	1	2	1.5	90	1.5							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10
60003	烈焰冲击	烈焰冲击		宠物测试技能			1	1	2000	1	2	1.5	90	1.5							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10
60004	横扫	横扫		宠物测试技能			1	1	2000	1	2	1.5	180	0							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10
60005	魔爆术	魔爆术		宠物测试技能			1	1	2000	1	3	3	0	0							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10
60006	穿刺	穿刺		宠物测试技能			1	1	2000	1	2	1.5	90	1.5							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10
60007	冰霜吐息	冰霜吐息		宠物测试技能			1	1	2000	1	2	1.5	90	1.5							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10
60008	震地	震地		宠物测试技能			1	1	2000	1	3	3	0	0							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10
60009	寒冰风暴	寒冰风暴		宠物测试技能			1	1	2000	1	3	3	0	1.5							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10
60010	断筋之刺	断筋之刺		宠物测试技能			1	1	2000	1	1	2	3	1.5							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10
60011	冰霜新星	冰霜新星		宠物测试技能			1	1	2000	1	3	3	0	0							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10
60012	挑战怒吼	挑战怒吼		宠物测试技能			1	1	2000	1	3	3	0	0							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10
60013	复苏之风	复苏之风		宠物测试技能			2	1	2000	1	4	0	0	3							1	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10
60014	治愈术	治愈术		宠物测试技能			2	1	2000	1	4	0	0	3							0	0	0	0	0	0	5000	5000	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10
60015	魔免加持	魔免加持		宠物测试技能			2	1	2000	1	4	0	0	3							0	0	0	0	0	0	5000	5000	10	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	10
60016	物免加持	物免加持		宠物测试技能			2	1	2000	1	4	0	0	3							0	0	0	0	0	0	5000	5000	10	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	10
60017	圣佑术	圣佑术		宠物测试技能			2	1	2000	1	4	0	0	3							0	0	0	0	0	0	5000	5000	10	10	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	10
