int	int	int	int	int	int	int
213	2	132	195	16	100	200
214	2	132	195	17	25	50
215	2	132	195	29	100	200
216	2	132	195	7	25	50
217	2	132	195	11	200	400
218	2	132	195	14	75	150
219	2	132	195	15	150	300
220	2	132	195	26	75	150
221	2	132	195	27	75	150
222	2	132	195	21	5	10
223	2	132	195	25	50	100
224	2	132	195	22	100	200
225	2	132	195	23	100	200
226	2	132	195	24	13	25
227	2	132	195	28	50	100
228	2	132	195	30	125	250
229	2	196	251	5	144	288
230	2	196	251	6	288	576
231	2	196	251	12	175	350
232	2	196	251	13	350	700
233	2	196	251	16	100	200
234	2	196	251	17	50	100
235	2	196	251	29	100	200
236	2	196	251	7	50	100
237	2	196	251	11	400	800
238	2	196	251	14	88	175
239	2	196	251	15	175	350
240	2	196	251	26	75	150
241	2	196	251	27	75	150
242	2	196	251	21	5	10
243	2	196	251	25	50	100
244	2	196	251	22	100	200
245	2	196	251	23	100	200
246	2	196	251	24	25	50
247	2	196	251	28	75	150
248	2	196	251	30	150	300
249	2	252	300	5	288	576
250	2	252	300	6	576	1152
251	2	252	300	12	200	400
252	2	252	300	13	400	800
253	2	252	300	16	100	200
254	2	252	300	17	75	150
255	2	252	300	29	100	200
256	2	252	300	7	75	150
257	2	252	300	11	800	1600
258	2	252	300	14	100	200
259	2	252	300	15	200	400
260	2	252	300	26	75	150
261	2	252	300	27	75	150
262	2	252	300	21	5	10
263	2	252	300	25	50	100
264	2	252	300	22	100	200
265	2	252	300	23	100	200
266	2	252	300	24	50	100
267	2	252	300	28	100	200
268	2	252	300	30	175	350
269	3	1	19	5	6	12
270	3	1	19	6	12	24
271	3	1	19	12	50	100
272	3	1	19	13	100	200
273	3	1	19	16	100	200
274	3	1	19	17	5	10
275	3	1	19	7	5	10
276	3	1	19	11	30	60
277	3	1	19	14	25	50
278	3	1	19	15	50	100
279	3	1	19	23	50	100
280	3	1	19	24	3	5
281	3	1	19	28	5	10
282	3	1	19	30	25	50
283	3	20	39	5	12	24
284	3	20	39	6	24	48
285	3	20	39	12	75	150
286	3	20	39	13	150	300
287	3	20	39	16	100	200
288	3	20	39	17	8	15
289	3	20	39	29	50	100
290	3	20	39	7	8	15
291	3	20	39	11	25	50
292	3	20	39	14	38	75
293	3	20	39	15	75	150
294	3	20	39	26	50	100
295	3	20	39	27	50	100
296	3	20	39	21	5	10
297	3	20	39	25	50	100
298	3	20	39	22	100	200
299	3	20	39	23	100	200
300	3	20	39	24	5	10
301	3	20	39	28	10	20
302	3	20	39	30	50	100
303	3	40	59	5	24	48
304	3	40	59	6	48	96
305	3	40	59	12	100	200
306	3	40	59	13	200	400
307	3	40	59	16	100	200
308	3	40	59	17	10	20
309	3	40	59	29	50	100
310	3	40	59	7	10	20
311	3	40	59	11	50	100
312	3	40	59	14	50	100
313	3	40	59	15	100	200
314	3	40	59	26	50	100
315	3	40	59	27	50	100
316	3	40	59	21	5	10
317	3	40	59	25	50	100
318	3	40	59	22	100	200
319	3	40	59	23	100	200
320	3	40	59	24	8	15
321	3	40	59	28	15	30
322	3	40	59	30	75	150
323	3	60	131	5	36	72
324	3	60	131	6	72	144
325	3	60	131	12	125	250
326	3	60	131	13	250	500
327	3	60	131	16	100	200
328	3	60	131	17	20	40
329	3	60	131	29	50	100
330	3	60	131	7	20	40
331	3	60	131	11	100	200
332	3	60	131	14	63	125
333	3	60	131	15	125	250
334	3	60	131	26	75	150
335	3	60	131	27	75	150
336	3	60	131	21	5	10
337	3	60	131	25	50	100
338	3	60	131	22	100	200
339	3	60	131	23	100	200
340	3	60	131	24	10	20
341	3	60	131	28	25	50
342	3	60	131	30	100	200
343	3	132	195	5	72	144
344	3	132	195	6	144	288
345	3	132	195	12	150	300
346	3	132	195	13	300	600
347	3	132	195	16	100	200
348	3	132	195	17	25	50
349	3	132	195	29	100	200
350	3	132	195	7	25	50
351	3	132	195	11	200	400
352	3	132	195	14	75	150
353	3	132	195	15	150	300
354	3	132	195	26	75	150
355	3	132	195	27	75	150
356	3	132	195	21	5	10
357	3	132	195	25	50	100
358	3	132	195	22	100	200
359	3	132	195	23	100	200
360	3	132	195	24	13	25
361	3	132	195	28	50	100
362	3	132	195	30	125	250
363	3	196	251	5	144	288
364	3	196	251	6	288	576
365	3	196	251	12	175	350
366	3	196	251	13	350	700
367	3	196	251	16	100	200
368	3	196	251	17	50	100
369	3	196	251	29	100	200
370	3	196	251	7	50	100
371	3	196	251	11	400	800
372	3	196	251	14	88	175
373	3	196	251	15	175	350
374	3	196	251	26	75	150
375	3	196	251	27	75	150
376	3	196	251	21	5	10
377	3	196	251	25	50	100
378	3	196	251	22	100	200
379	3	196	251	23	100	200
380	3	196	251	24	25	50
381	3	196	251	28	75	150
382	3	196	251	30	150	300
383	3	252	300	5	288	576
384	3	252	300	6	576	1152
385	3	252	300	12	200	400
386	3	252	300	13	400	800
387	3	252	300	16	100	200
388	3	252	300	17	75	150
389	3	252	300	29	100	200
390	3	252	300	7	75	150
391	3	252	300	11	800	1600
392	3	252	300	14	100	200
393	3	252	300	15	200	400
394	3	252	300	26	75	150
395	3	252	300	27	75	150
396	3	252	300	21	5	10
397	3	252	300	25	50	100
398	3	252	300	22	100	200
399	3	252	300	23	100	200
400	3	252	300	24	50	100
401	3	252	300	28	100	200
402	3	252	300	30	175	350
403	4	1	19	5	6	12
404	4	1	19	6	12	24
405	4	1	19	12	50	100
406	4	1	19	13	100	200
407	4	1	19	16	100	200
408	4	1	19	17	5	10
409	4	1	19	7	5	10
410	4	1	19	11	30	60
411	4	1	19	14	25	50
412	4	1	19	15	50	100
413	4	1	19	23	50	100
414	4	1	19	24	3	5
415	4	1	19	28	5	10
416	4	1	19	30	25	50
417	4	20	39	5	12	24
418	4	20	39	6	24	48
419	4	20	39	12	75	150
420	4	20	39	13	150	300
421	4	20	39	16	100	200
422	4	20	39	17	8	15
423	4	20	39	29	50	100
424	4	20	39	7	8	15
425	4	20	39	11	25	50
426	4	20	39	14	38	75
427	4	20	39	15	75	150
428	4	20	39	26	50	100
429	4	20	39	27	50	100
430	4	20	39	21	5	10
431	4	20	39	25	50	100
432	4	20	39	22	100	200
433	4	20	39	23	100	200
434	4	20	39	24	5	10
435	4	20	39	28	10	20
436	4	20	39	30	50	100
437	4	40	59	5	24	48
438	4	40	59	6	48	96
439	4	40	59	12	100	200
440	4	40	59	13	200	400
441	4	40	59	16	100	200
442	4	40	59	17	10	20
443	4	40	59	29	50	100
444	4	40	59	7	10	20
445	4	40	59	11	50	100
446	4	40	59	14	50	100
447	4	40	59	15	100	200
448	4	40	59	26	50	100
449	4	40	59	27	50	100
450	4	40	59	21	5	10
451	4	40	59	25	50	100
452	4	40	59	22	100	200
453	4	40	59	23	100	200
454	4	40	59	24	8	15
455	4	40	59	28	15	30
456	4	40	59	30	75	150
457	4	60	131	5	36	72
458	4	60	131	6	72	144
459	4	60	131	12	125	250
460	4	60	131	13	250	500
461	4	60	131	16	100	200
462	4	60	131	17	20	40
463	4	60	131	29	50	100
464	4	60	131	7	20	40
465	4	60	131	11	100	200
466	4	60	131	14	63	125
467	4	60	131	15	125	250
468	4	60	131	26	75	150
469	4	60	131	27	75	150
470	4	60	131	21	5	10
471	4	60	131	25	50	100
472	4	60	131	22	100	200
473	4	60	131	23	100	200
474	4	60	131	24	10	20
475	4	60	131	28	25	50
476	4	60	131	30	100	200
477	4	132	195	5	72	144
478	4	132	195	6	144	288
479	4	132	195	12	150	300
480	4	132	195	13	300	600
481	4	132	195	16	100	200
482	4	132	195	17	25	50
483	4	132	195	29	100	200
484	4	132	195	7	25	50
485	4	132	195	11	200	400
486	4	132	195	14	75	150
487	4	132	195	15	150	300
488	4	132	195	26	75	150
489	4	132	195	27	75	150
490	4	132	195	21	5	10
491	4	132	195	25	50	100
492	4	132	195	22	100	200
493	4	132	195	23	100	200
494	4	132	195	24	13	25
495	4	132	195	28	50	100
496	4	132	195	30	125	250
497	4	196	251	5	144	288
498	4	196	251	6	288	576
499	4	196	251	12	175	350
500	4	196	251	13	350	700
501	4	196	251	16	100	200
502	4	196	251	17	50	100
503	4	196	251	29	100	200
504	4	196	251	7	50	100
505	4	196	251	11	400	800
506	4	196	251	14	88	175
507	4	196	251	15	175	350
508	4	196	251	26	75	150
509	4	196	251	27	75	150
510	4	196	251	21	5	10
511	4	196	251	25	50	100
512	4	196	251	22	100	200
513	4	196	251	23	100	200
514	4	196	251	24	25	50
515	4	196	251	28	75	150
516	4	196	251	30	150	300
517	4	252	300	5	288	576
518	4	252	300	6	576	1152
519	4	252	300	12	200	400
520	4	252	300	13	400	800
521	4	252	300	16	100	200
522	4	252	300	17	75	150
523	4	252	300	29	100	200
524	4	252	300	7	75	150
525	4	252	300	11	800	1600
526	4	252	300	14	100	200
527	4	252	300	15	200	400
528	4	252	300	26	75	150
529	4	252	300	27	75	150
530	4	252	300	21	5	10
531	4	252	300	25	50	100
532	4	252	300	22	100	200
533	4	252	300	23	100	200
534	4	252	300	24	50	100
535	4	252	300	28	100	200
536	4	252	300	30	175	350
537	5	1	19	5	6	12
538	5	1	19	6	12	24
539	5	1	19	12	50	100
540	5	1	19	13	100	200
541	5	1	19	16	100	200
542	5	1	19	17	5	10
543	5	1	19	7	5	10
544	5	1	19	11	30	60
545	5	1	19	14	25	50
546	5	1	19	15	50	100
547	5	1	19	23	50	100
548	5	1	19	24	3	5
549	5	1	19	28	5	10
550	5	1	19	30	25	50
551	5	20	39	5	12	24
552	5	20	39	6	24	48
553	5	20	39	12	75	150
554	5	20	39	13	150	300
555	5	20	39	16	100	200
556	5	20	39	17	8	15
557	5	20	39	29	50	100
558	5	20	39	7	8	15
559	5	20	39	11	25	50
560	5	20	39	14	38	75
561	5	20	39	15	75	150
562	5	20	39	26	50	100
563	5	20	39	27	50	100
564	5	20	39	21	5	10
565	5	20	39	25	50	100
566	5	20	39	22	100	200
567	5	20	39	23	100	200
568	5	20	39	24	5	10
569	5	20	39	28	10	20
570	5	20	39	30	50	100
571	5	40	59	5	24	48
572	5	40	59	6	48	96
573	5	40	59	12	100	200
574	5	40	59	13	200	400
575	5	40	59	16	100	200
576	5	40	59	17	10	20
577	5	40	59	29	50	100
578	5	40	59	7	10	20
579	5	40	59	11	50	100
580	5	40	59	14	50	100
581	5	40	59	15	100	200
582	5	40	59	26	50	100
583	5	40	59	27	50	100
584	5	40	59	21	5	10
585	5	40	59	25	50	100
586	5	40	59	22	100	200
587	5	40	59	23	100	200
588	5	40	59	24	8	15
589	5	40	59	28	15	30
590	5	40	59	30	75	150
591	5	60	131	5	36	72
592	5	60	131	6	72	144
593	5	60	131	12	125	250
594	5	60	131	13	250	500
595	5	60	131	16	100	200
596	5	60	131	17	20	40
597	5	60	131	29	50	100
598	5	60	131	7	20	40
599	5	60	131	11	100	200
600	5	60	131	14	63	125
601	5	60	131	15	125	250
602	5	60	131	26	75	150
603	5	60	131	27	75	150
604	5	60	131	21	5	10
605	5	60	131	25	50	100
606	5	60	131	22	100	200
607	5	60	131	23	100	200
608	5	60	131	24	10	20
609	5	60	131	28	25	50
610	5	60	131	30	100	200
611	5	132	195	5	72	144
612	5	132	195	6	144	288
613	5	132	195	12	150	300
614	5	132	195	13	300	600
615	5	132	195	16	100	200
616	5	132	195	17	25	50
617	5	132	195	29	100	200
618	5	132	195	7	25	50
619	5	132	195	11	200	400
620	5	132	195	14	75	150
621	5	132	195	15	150	300
622	5	132	195	26	75	150
623	5	132	195	27	75	150
624	5	132	195	21	5	10
625	5	132	195	25	50	100
626	5	132	195	22	100	200
627	5	132	195	23	100	200
628	5	132	195	24	13	25
629	5	132	195	28	50	100
630	5	132	195	30	125	250
631	5	196	251	5	144	288
632	5	196	251	6	288	576
633	5	196	251	12	175	350
634	5	196	251	13	350	700
635	5	196	251	16	100	200
636	5	196	251	17	50	100
637	5	196	251	29	100	200
638	5	196	251	7	50	100
639	5	196	251	11	400	800
640	5	196	251	14	88	175
641	5	196	251	15	175	350
642	5	196	251	26	75	150
643	5	196	251	27	75	150
644	5	196	251	21	5	10
645	5	196	251	25	50	100
646	5	196	251	22	100	200
647	5	196	251	23	100	200
648	5	196	251	24	25	50
649	5	196	251	28	75	150
650	5	196	251	30	150	300
651	5	252	300	5	288	576
652	5	252	300	6	576	1152
653	5	252	300	12	200	400
654	5	252	300	13	400	800
655	5	252	300	16	100	200
656	5	252	300	17	75	150
657	5	252	300	29	100	200
658	5	252	300	7	75	150
659	5	252	300	11	800	1600
660	5	252	300	14	100	200
661	5	252	300	15	200	400
662	5	252	300	26	75	150
663	5	252	300	27	75	150
664	5	252	300	21	5	10
665	5	252	300	25	50	100
666	5	252	300	22	100	200
667	5	252	300	23	100	200
668	5	252	300	24	50	100
669	5	252	300	28	100	200
670	5	252	300	30	175	350
671	6	1	19	5	6	12
672	6	1	19	6	12	24
673	6	1	19	12	50	100
674	6	1	19	13	100	200
675	6	1	19	16	100	200
676	6	1	19	17	5	10
677	6	1	19	7	5	10
678	6	1	19	11	30	60
679	6	1	19	14	25	50
680	6	1	19	15	50	100
681	6	1	19	23	50	100
682	6	1	19	24	3	5
683	6	1	19	28	5	10
684	6	1	19	30	25	50
685	6	20	39	5	12	24
686	6	20	39	6	24	48
687	6	20	39	12	75	150
688	6	20	39	13	150	300
689	6	20	39	16	100	200
690	6	20	39	17	8	15
691	6	20	39	29	50	100
692	6	20	39	7	8	15
693	6	20	39	11	25	50
694	6	20	39	14	38	75
695	6	20	39	15	75	150
696	6	20	39	26	50	100
697	6	20	39	27	50	100
698	6	20	39	21	5	10
699	6	20	39	25	50	100
700	6	20	39	22	100	200
701	6	20	39	23	100	200
702	6	20	39	24	5	10
703	6	20	39	28	10	20
704	6	20	39	30	50	100
705	6	40	59	5	24	48
706	6	40	59	6	48	96
707	6	40	59	12	100	200
708	6	40	59	13	200	400
709	6	40	59	16	100	200
710	6	40	59	17	10	20
711	6	40	59	29	50	100
712	6	40	59	7	10	20
713	6	40	59	11	50	100
714	6	40	59	14	50	100
715	6	40	59	15	100	200
716	6	40	59	26	50	100
717	6	40	59	27	50	100
718	6	40	59	21	5	10
719	6	40	59	25	50	100
720	6	40	59	22	100	200
721	6	40	59	23	100	200
722	6	40	59	24	8	15
723	6	40	59	28	15	30
724	6	40	59	30	75	150
725	6	60	131	5	36	72
726	6	60	131	6	72	144
727	6	60	131	12	125	250
728	6	60	131	13	250	500
729	6	60	131	16	100	200
730	6	60	131	17	20	40
731	6	60	131	29	50	100
732	6	60	131	7	20	40
733	6	60	131	11	100	200
734	6	60	131	14	63	125
735	6	60	131	15	125	250
736	6	60	131	26	75	150
737	6	60	131	27	75	150
738	6	60	131	21	5	10
739	6	60	131	25	50	100
740	6	60	131	22	100	200
741	6	60	131	23	100	200
742	6	60	131	24	10	20
743	6	60	131	28	25	50
744	6	60	131	30	100	200
745	6	132	195	5	72	144
746	6	132	195	6	144	288
747	6	132	195	12	150	300
748	6	132	195	13	300	600
749	6	132	195	16	100	200
750	6	132	195	17	25	50
751	6	132	195	29	100	200
752	6	132	195	7	25	50
753	6	132	195	11	200	400
754	6	132	195	14	75	150
755	6	132	195	15	150	300
756	6	132	195	26	75	150
757	6	132	195	27	75	150
758	6	132	195	21	5	10
759	6	132	195	25	50	100
760	6	132	195	22	100	200
761	6	132	195	23	100	200
762	6	132	195	24	13	25
763	6	132	195	28	50	100
764	6	132	195	30	125	250
765	6	196	251	5	144	288
766	6	196	251	6	288	576
767	6	196	251	12	175	350
768	6	196	251	13	350	700
769	6	196	251	16	100	200
770	6	196	251	17	50	100
771	6	196	251	29	100	200
772	6	196	251	7	50	100
773	6	196	251	11	400	800
774	6	196	251	14	88	175
775	6	196	251	15	175	350
776	6	196	251	26	75	150
777	6	196	251	27	75	150
778	6	196	251	21	5	10
779	6	196	251	25	50	100
780	6	196	251	22	100	200
781	6	196	251	23	100	200
782	6	196	251	24	25	50
783	6	196	251	28	75	150
784	6	196	251	30	150	300
785	6	252	300	5	288	576
786	6	252	300	6	576	1152
787	6	252	300	12	200	400
788	6	252	300	13	400	800
789	6	252	300	16	100	200
790	6	252	300	17	75	150
791	6	252	300	29	100	200
792	6	252	300	7	75	150
793	6	252	300	11	800	1600
794	6	252	300	14	100	200
795	6	252	300	15	200	400
796	6	252	300	26	75	150
797	6	252	300	27	75	150
798	6	252	300	21	5	10
799	6	252	300	25	50	100
800	6	252	300	22	100	200
801	6	252	300	23	100	200
802	6	252	300	24	50	100
803	6	252	300	28	100	200
804	6	252	300	30	175	350
805	7	1	19	5	6	12
806	7	1	19	6	12	24
807	7	1	19	12	50	100
808	7	1	19	13	100	200
809	7	1	19	16	100	200
810	7	1	19	17	5	10
811	7	1	19	7	5	10
812	7	1	19	11	30	60
813	7	1	19	14	25	50
814	7	1	19	15	50	100
815	7	1	19	23	50	100
816	7	1	19	24	3	5
817	7	1	19	28	5	10
818	7	1	19	30	25	50
819	7	20	39	5	12	24
820	7	20	39	6	24	48
821	7	20	39	12	75	150
822	7	20	39	13	150	300
823	7	20	39	16	100	200
824	7	20	39	17	8	15
825	7	20	39	29	50	100
826	7	20	39	7	8	15
827	7	20	39	11	25	50
828	7	20	39	14	38	75
829	7	20	39	15	75	150
830	7	20	39	26	50	100
831	7	20	39	27	50	100
832	7	20	39	21	5	10
833	7	20	39	25	50	100
834	7	20	39	22	100	200
835	7	20	39	23	100	200
836	7	20	39	24	5	10
837	7	20	39	28	10	20
838	7	20	39	30	50	100
839	7	40	59	5	24	48
840	7	40	59	6	48	96
841	7	40	59	12	100	200
842	7	40	59	13	200	400
843	7	40	59	16	100	200
844	7	40	59	17	10	20
845	7	40	59	29	50	100
846	7	40	59	7	10	20
847	7	40	59	11	50	100
848	7	40	59	14	50	100
849	7	40	59	15	100	200
850	7	40	59	26	50	100
851	7	40	59	27	50	100
852	7	40	59	21	5	10
853	7	40	59	25	50	100
854	7	40	59	22	100	200
855	7	40	59	23	100	200
856	7	40	59	24	8	15
857	7	40	59	28	15	30
858	7	40	59	30	75	150
859	7	60	131	5	36	72
860	7	60	131	6	72	144
861	7	60	131	12	125	250
862	7	60	131	13	250	500
863	7	60	131	16	100	200
864	7	60	131	17	20	40
865	7	60	131	29	50	100
866	7	60	131	7	20	40
867	7	60	131	11	100	200
868	7	60	131	14	63	125
869	7	60	131	15	125	250
870	7	60	131	26	75	150
871	7	60	131	27	75	150
872	7	60	131	21	5	10
873	7	60	131	25	50	100
874	7	60	131	22	100	200
875	7	60	131	23	100	200
876	7	60	131	24	10	20
877	7	60	131	28	25	50
878	7	60	131	30	100	200
879	7	132	195	5	72	144
880	7	132	195	6	144	288
881	7	132	195	12	150	300
882	7	132	195	13	300	600
883	7	132	195	16	100	200
884	7	132	195	17	25	50
885	7	132	195	29	100	200
886	7	132	195	7	25	50
887	7	132	195	11	200	400
888	7	132	195	14	75	150
889	7	132	195	15	150	300
890	7	132	195	26	75	150
891	7	132	195	27	75	150
892	7	132	195	21	5	10
893	7	132	195	25	50	100
894	7	132	195	22	100	200
895	7	132	195	23	100	200
896	7	132	195	24	13	25
897	7	132	195	28	50	100
898	7	132	195	30	125	250
899	7	196	251	5	144	288
900	7	196	251	6	288	576
901	7	196	251	12	175	350
902	7	196	251	13	350	700
903	7	196	251	16	100	200
904	7	196	251	17	50	100
905	7	196	251	29	100	200
906	7	196	251	7	50	100
907	7	196	251	11	400	800
908	7	196	251	14	88	175
909	7	196	251	15	175	350
910	7	196	251	26	75	150
911	7	196	251	27	75	150
912	7	196	251	21	5	10
913	7	196	251	25	50	100
914	7	196	251	22	100	200
915	7	196	251	23	100	200
916	7	196	251	24	25	50
917	7	196	251	28	75	150
918	7	196	251	30	150	300
919	7	252	300	5	288	576
920	7	252	300	6	576	1152
921	7	252	300	12	200	400
922	7	252	300	13	400	800
923	7	252	300	16	100	200
924	7	252	300	17	75	150
925	7	252	300	29	100	200
926	7	252	300	7	75	150
927	7	252	300	11	800	1600
928	7	252	300	14	100	200
929	7	252	300	15	200	400
930	7	252	300	26	75	150
931	7	252	300	27	75	150
932	7	252	300	21	5	10
933	7	252	300	25	50	100
934	7	252	300	22	100	200
935	7	252	300	23	100	200
936	7	252	300	24	50	100
937	7	252	300	28	100	200
938	7	252	300	30	175	350
939	8	1	19	5	6	12
940	8	1	19	6	12	24
941	8	1	19	12	50	100
942	8	1	19	13	100	200
943	8	1	19	16	100	200
944	8	1	19	17	5	10
945	8	1	19	7	5	10
946	8	1	19	11	30	60
947	8	1	19	14	25	50
948	8	1	19	15	50	100
949	8	1	19	23	50	100
950	8	1	19	24	3	5
951	8	1	19	28	5	10
952	8	1	19	30	25	50
953	8	20	39	5	12	24
954	8	20	39	6	24	48
955	8	20	39	12	75	150
956	8	20	39	13	150	300
957	8	20	39	16	100	200
958	8	20	39	17	8	15
959	8	20	39	29	50	100
960	8	20	39	7	8	15
961	8	20	39	11	25	50
962	8	20	39	14	38	75
963	8	20	39	15	75	150
964	8	20	39	26	50	100
965	8	20	39	27	50	100
966	8	20	39	21	5	10
967	8	20	39	25	50	100
968	8	20	39	22	100	200
969	8	20	39	23	100	200
970	8	20	39	24	5	10
971	8	20	39	28	10	20
972	8	20	39	30	50	100
973	8	40	59	5	24	48
974	8	40	59	6	48	96
975	8	40	59	12	100	200
976	8	40	59	13	200	400
977	8	40	59	16	100	200
978	8	40	59	17	10	20
979	8	40	59	29	50	100
980	8	40	59	7	10	20
981	8	40	59	11	50	100
982	8	40	59	14	50	100
983	8	40	59	15	100	200
984	8	40	59	26	50	100
985	8	40	59	27	50	100
986	8	40	59	21	5	10
987	8	40	59	25	50	100
988	8	40	59	22	100	200
989	8	40	59	23	100	200
990	8	40	59	24	8	15
991	8	40	59	28	15	30
