int	int	string	int	string	string	string	int	int	int	int	int	int	string	string	string	int	string	string	string	int	int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	float	int	float	int	int	float	float	string	int
9	30	地下城副本小怪-1(最弱）	8189	骷髅兵	monster/monster_006.unity3d	99009	23	27	31	26	36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	100000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	200	1.7	1.5		2
10	30	地下城副本小怪-2	8189	幽灵	monster/monster_009.unity3d	99010					36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	120000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	300	3	1.5		2
11	30	地下城副本小怪-3	8189	独眼巨人	monster/monster_008.unity3d	99011					36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	140000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	200	1.5	1.5		2
12	30	地下城副本小怪-4	8189	骷髅弓箭手	monster/monster_010.unity3d	99012	23				36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	160000	1	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	15	200	1.7	1.5		2
13	30	地下城副本boss	8189	骷髅王瑞兹	monster/boss_001.unity3d	99014_99015_99016	22				36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	9	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	600000	5	0	0	0	0	0	0	0	0	0	0	1	17000	1.5	5	1	15	200	1.3	1	1_2_3_4_5	3
14	30	寒冰魔（最弱）	8189	寒冰魔	monster/monster_013.unity3d	99017	30				36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	50000	1	0	0	0	0	0	0	0	0	0	0	1	0	0.4	5	1	15	300	1	1.5		1
15	30	蓝魔怪	8189	蓝魔怪	monster/monster_012.unity3d	99018					36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	50000	1	0	0	0	0	0	0	0	0	0	0	1	0	0.4	5	1	15	300	1	1.5		1
16	30	雪人	8189	雪人	monster/monster_014.unity3d	99019					36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	50000	1	0	0	0	0	0	0	0	0	0	0	1	0	0.4	5	1	15	300	1	1.5		1
17	30	雪人王	8189	雪人王	monster/monster_015.unity3d	99020					36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	50000	1	0	0	0	0	0	0	0	0	0	0	1	0	0.4	5	1	15	300	1	1.5		1
18	30	冰后（未来可能是boss）	8189	冰后	monster/monster_016.unity3d	99021					36	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_12_40101_40102_40103_40104_40105_40116	250_250_250_250_250_250_250_250_250_250_250_250_3250_250_250_250_250_250_250	1_1_1_1_1_1_1_1_1_1_1_1_5000_1_1_1_1_1_1	1	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300_300	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	4	500	5001_5002_5003_5004_5005_6001_6002_6003_6004_6005_6006_6007_40101_40102_40103_40104_40105_40116	400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400_400	1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1	6	2000	500	400	300	200	100	10	30	10	30	10	30	50	0	0	0	0	0	0	0	0	0	0	0	50000	1	0	0	0	0	0	0	0	0	0	0	1	0	0.4	5	1	15	300	1	1.5		1
