int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10			1_2_3	4	1	1	3	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	90	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	9	0	0	0	0	0	0	0	0	0	0	0	
11			1_2_3	4	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	100	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	0	0	0	0	0	0	0	0	0	0	0	
12			1_2_3	4	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	110	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	11	0	0	0	0	0	0	0	0	0	0	0	
40001		equip/zs_head.unity3d	1_2_3	1	1	1	3	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	120	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	12	0	0	0	0	0	0	0	0	0	0	0	
40002		equip/zs_chest.unity3d	1_2_3	2	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	130	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	13	0	0	0	0	0	0	0	0	0	0	0	
40003		equip/zs_hand.unity3d	1_2_3	4	1	1	3	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	140	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	14	0	0	0	0	0	0	0	0	0	0	0	
40004		equip/zs_leg.unity3d	1_2_3	3	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	150	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	15	0	0	0	0	0	0	0	0	0	0	0	
40005		equip/zs_foot.unity3d	1_2_3	5	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	160	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	16	0	0	0	0	0	0	0	0	0	0	0	
40006		equip/zs_weapon_longgujujingjian.unity3d	1_2_3	10	1	1	2	1	1	1	1	10	0	100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40009	equip/zs_wing_001.unity3d	equip/zs_wing_baofengzhiyi_002.unity3d	1_2_3	12	1	1	2	1	1	1	1	10	0	500	1000	0	0	0	0	0	300	700	0	0	0	0	0	900	3000	0	0	0	0	0	70	0	0	0	0	0	0	1	0	50	100	0	0	0	0	0	30	70	0	0	0	0	0	90	300	0	0	0	0	0	7	0	0	0	0	0	0	
40101		equip/zs_k_01_head.unity3d	1_2_3	1	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	17	170	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	17	0	0	0	0	0	0	0	0	0	0	0	1000
40102		equip/zs_k_01_chest.unity3d	1_2_3	2	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	180	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	18	0	0	0	0	0	0	0	0	0	0	0	1000
40103		equip/zs_k_01_hand.unity3d	1_2_3	4	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	190	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	19	0	0	0	0	0	0	0	0	0	0	0	1000
40104		equip/zs_k_01_leg.unity3d	1_2_3	3	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	200	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	20	0	0	0	0	0	0	0	0	0	0	0	1000
40105		equip/zs_k_01_foot.unity3d	1_2_3	5	1	1	2	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	21	210	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	21	0	0	0	0	0	0	0	0	0	0	0	1000
40116		equip/zs_weapon_longgujujingjian.unity3d	1_2_3	10	9999	1	5	1	1	1	1	10	0	200	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	20	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40301		equip/zs_k_04_head.unity3d	1_2_3	1	9999	1	5	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	22	220	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	22	0	0	0	0	0	0	0	0	0	0	0	1000
40302		equip/zs_k_04_chest.unity3d	1_2_3	2	9999	1	5	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	23	230	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	23	0	0	0	0	0	0	0	0	0	0	0	1000
40303		equip/zs_k_04_hand.unity3d	1_2_3	4	9999	1	5	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	24	240	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	24	0	0	0	0	0	0	0	0	0	0	0	1000
40304		equip/zs_k_04_leg.unity3d	1_2_3	3	9999	1	5	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	25	250	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	25	0	0	0	0	0	0	0	0	0	0	0	1000
40305		equip/zs_k_04_foot.unity3d	1_2_3	5	9999	1	5	1	1	1	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	26	260	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	26	0	0	0	0	0	0	0	0	0	0	0	1000
40120		equip/zs_weapon_longgujujingjian.unity3d	1_2_3	13	9999	1	3	1	1	1	1	10	0	2000	8000	0	0	0	0	0	0	0	0	0	0	0	0	1000	25	0	0	0	0	0	50	0	0	0	0	0	0	1	0	200	800	0	0	0	0	0	0	0	0	0	0	0	0	100	3	0	0	0	0	0	5	0	0	0	0	0	0	
11001	巨蛇魔剑		1_2_3	10	0	1	1	1	1	0	1	0	0	24	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11002	死神镰刀		1_2_3	11	0	1	1	1	1	0	1	0	0	30	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11003	皮套盾		1_2_3	8	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	8	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	0	0	0	0	0	0	0	0	0	0	0	
11004	皮铠		1_2_3	2	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	5	0	0	0	0	0	0	0	0	0	0	0	
11005	皮护腿		1_2_3	3	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	25	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	4	0	0	0	0	0	0	0	0	0	0	0	
11006	皮盔		1_2_3	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	0	0	0	0	0	0	0	0	0	0	0	
11007	皮鞋		1_2_3	5	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	15	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	0	0	0	
11008	皮护手		1_2_3	4	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	
11009	皮戒指		1_2_3	6	0	1	1	1	1	0	1	0	0	10	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11010	皮项链		1_2_3	7	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	
11011	青铜套单手武器		1_2_3	10	0	1	2	1	1	0	1	0	0	41	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11012	青铜套双手武器		1_2_3	11	0	1	2	1	1	0	1	0	0	51	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11013	青铜套盾		1_2_3	8	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	14	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	11	0	0	0	0	0	0	0	0	0	0	0	
11014	青铜铠		1_2_3	2	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	51	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	9	0	0	0	0	0	0	0	0	0	0	0	
11015	青铜护腿		1_2_3	3	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	43	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	7	0	0	0	0	0	0	0	0	0	0	0	
11016	青铜盔		1_2_3	1	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	34	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	6	0	0	0	0	0	0	0	0	0	0	0	
11017	青铜鞋		1_2_3	5	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	26	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	4	0	0	0	0	0	0	0	0	0	0	0	
11018	青铜护手		1_2_3	4	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	
11019	青铜戒指		1_2_3	6	0	1	2	1	1	0	1	0	0	17	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11020	青铜项链		1_2_3	7	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	20	0	0	0	0	0	0	0	0	0	
11021	30级战士翅膀		1_2_3	12	0	1	1	1	1	0	1	0	0	20	40	0	0	0	0	0	10	10	0	0	0	0	0	0	0	500	0	0	0	0	70	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	50	0	0	0	0	7	0	0	0	0	0	0	
11022	真红之剑		1_2_3	10	0	1	3	1	1	0	1	0	0	70	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11023	太阳之剑		1_2_3	11	0	1	3	1	1	0	1	0	0	87	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11024	龙之盾		1_2_3	8	0	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	24	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	18	0	0	0	0	0	0	0	0	0	0	0	
11025	黄金铠		1_2_3	2	0	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	87	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	9	15	0	0	0	0	0	0	0	0	0	0	0	
11026	黄金护腿		1_2_3	3	0	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	74	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	8	12	0	0	0	0	0	0	0	0	0	0	0	
11027	黄金盔		1_2_3	1	0	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	58	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	9	0	0	0	0	0	0	0	0	0	0	0	
11028	黄金鞋		1_2_3	5	0	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	45	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	6	0	0	0	0	0	0	0	0	0	0	0	
11029	黄金护手		1_2_3	4	0	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	
11030	黄金戒指		1_2_3	6	0	1	3	1	1	0	1	0	0	29	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11031	黄金项链		1_2_3	7	0	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	30	0	0	0	0	0	0	0	0	0	
11032	40级战士法宝		1_2_3	13	0	1	1	1	1	0	1	0	0	0	0	0	0	500	0	0	20	20	0	0	0	0	0	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	2	2	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	
11033	玛雅龙斧		1_2_3	11	0	2	4	1	1	0	1	0	0	166	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11034	红龙王铠		1_2_3	2	0	2	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	166	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	17	28	0	0	0	0	0	0	0	0	0	0	0	
11035	红龙王护腿		1_2_3	3	0	2	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	141	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	15	23	0	0	0	0	0	0	0	0	0	0	0	
11036	红龙王盔		1_2_3	1	0	2	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	111	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	12	17	0	0	0	0	0	0	0	0	0	0	0	
11037	红龙王鞋		1_2_3	5	0	2	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	86	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9	12	0	0	0	0	0	0	0	0	0	0	0	
11038	红龙王护手		1_2_3	4	0	2	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	56	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	6	0	0	0	0	0	0	0	0	0	0	0	
11039	红龙王戒指		1_2_3	6	0	2	4	1	1	0	1	0	0	56	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11040	红龙王项链		1_2_3	7	0	2	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	40	0	0	0	0	0	0	0	0	0	
11041	60级战士翅膀		1_2_3	12	0	1	2	1	1	0	1	0	0	34	68	0	0	0	0	0	17	17	0	0	0	0	0	0	0	850	0	0	0	0	70	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	2	2	0	0	0	0	0	0	0	85	0	0	0	0	7	0	0	0	0	0	0	
11042	60级战士法宝		1_2_3	13	0	1	2	1	1	0	1	0	0	0	0	0	0	750	0	0	30	30	0	0	0	0	0	75	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	3	3	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	
11043	玄冰剑		1_2_3	11	0	3	4	1	1	0	1	0	0	349	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11044	黑龙王铠		1_2_3	2	0	3	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	349	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	35	58	0	0	0	0	0	0	0	0	0	0	0	
11045	黑龙王护腿		1_2_3	3	0	3	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	297	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	30	47	0	0	0	0	0	0	0	0	0	0	0	
11046	黑龙王盔		1_2_3	1	0	3	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	234	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	24	35	0	0	0	0	0	0	0	0	0	0	0	
11047	黑龙王鞋		1_2_3	5	0	3	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	181	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	19	24	0	0	0	0	0	0	0	0	0	0	0	
11048	黑龙王护手		1_2_3	4	0	3	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	118	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	12	12	0	0	0	0	0	0	0	0	0	0	0	
11049	黑龙王戒指		1_2_3	6	0	3	4	1	1	0	1	0	0	118	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11050	黑龙王项链		1_2_3	7	0	3	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1155	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	50	0	0	0	0	0	0	0	0	0	
